"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.465655635E0,5.627323627E0,-3.706508636E0,8.593816757E-1,6.792901762E0
1.470655635E0,4.591565132E0,-3.438483477E0,4.420700073E-1,5.753352490E0
1.475655635E0,3.646004677E0,-3.433037281E0,-4.132432938E-1,5.024924387E0
1.480655635E0,2.698060036E0,-3.484816551E0,-9.505023956E-1,4.508539581E0
1.485655635E0,1.573800087E0,-3.373683929E0,-8.247079849E-1,3.812969083E0
1.490655635E0,6.122105718E-1,-3.174960613E0,-2.446794510E-1,3.242690968E0
1.495655635E0,-5.348442122E-2,-3.119564533E0,2.948465347E-1,3.133923729E0
1.500655635E0,-1.008323669E0,-3.100774527E0,7.082586288E-1,3.336637465E0
1.505655635E0,-1.575481653E0,-3.220459938E0,9.693813324E-1,3.713920411E0
1.510655635E0,-1.780989885E0,-3.235013723E0,9.048423767E-1,3.802101851E0
